Time,RA2,RA1,
2.3799972e-05,1.36000e-01,3.28000e+00,
2.3999972e-05,1.44000e-01,3.36000e+00,
2.4199971e-05,1.36000e-01,3.44000e+00,
2.4399971e-05,1.40000e-01,3.28000e+00,
2.4599971e-05,1.48000e-01,3.44000e+00,
2.4799971e-05,1.44000e-01,3.44000e+00,
2.4999970e-05,1.48000e-01,3.36000e+00,
2.5199970e-05,1.44000e-01,3.44000e+00,
2.5399970e-05,1.52000e-01,3.28000e+00,
2.5599969e-05,1.48000e-01,3.44000e+00,
2.5799969e-05,1.52000e-01,3.28000e+00,
2.5999969e-05,1.52000e-01,3.44000e+00,
2.6199968e-05,1.56000e-01,3.28000e+00,
2.6399968e-05,1.52000e-01,3.36000e+00,
2.6599968e-05,1.68000e-01,3.44000e+00,
2.6799968e-05,1.40000e-01,3.28000e+00,
2.6999967e-05,1.72000e-01,3.44000e+00,
2.7199967e-05,1.36000e-01,3.44000e+00,
2.7399967e-05,1.88000e-01,3.28000e+00,
2.7599966e-05,1.28000e-01,3.28000e+00,
2.7799966e-05,1.92000e-01,3.44000e+00,
2.7999966e-05,1.84000e-01,3.44000e+00,
2.8199966e-05,1.36000e-01,3.28000e+00,
2.8399965e-05,1.88000e-01,3.28000e+00,
2.8599965e-05,1.48000e-01,3.44000e+00,
2.8799965e-05,1.80000e-01,3.28000e+00,
2.8999964e-05,1.56000e-01,3.44000e+00,
2.9199964e-05,1.56000e-01,3.36000e+00,
2.9399964e-05,1.84000e-01,3.44000e+00,
2.9599963e-05,1.60000e-01,3.44000e+00,
2.9799963e-05,1.80000e-01,3.28000e+00,
2.9999963e-05,1.68000e-01,3.28000e+00,
3.0199963e-05,1.80000e-01,3.44000e+00,
3.0399962e-05,1.72000e-01,3.28000e+00,
3.0599964e-05,1.80000e-01,3.44000e+00,
3.0799965e-05,1.76000e-01,3.44000e+00,
3.0999967e-05,1.80000e-01,3.28000e+00,
3.1199968e-05,1.76000e-01,3.28000e+00,
3.1399970e-05,1.84000e-01,3.44000e+00,
3.1599971e-05,1.76000e-01,3.44000e+00,
3.1799973e-05,1.96000e-01,3.28000e+00,
3.1999974e-05,1.72000e-01,3.28000e+00,
3.2199976e-05,1.92000e-01,3.44000e+00,
3.2399977e-05,1.96000e-01,3.44000e+00,
3.2599979e-05,1.76000e-01,3.28000e+00,
3.2799981e-05,1.92000e-01,3.44000e+00,
3.2999982e-05,1.80000e-01,3.28000e+00,
3.3199984e-05,1.92000e-01,3.28000e+00,
3.3399985e-05,1.88000e-01,3.44000e+00,
3.3599987e-05,1.88000e-01,3.44000e+00,
3.3799988e-05,1.96000e-01,3.28000e+00,
3.3999990e-05,1.96000e-01,3.44000e+00,
3.4199991e-05,1.88000e-01,3.28000e+00,
3.4399993e-05,1.92000e-01,3.44000e+00,
3.4599994e-05,2.00000e-01,3.28000e+00,
3.4799996e-05,1.92000e-01,3.44000e+00,
3.4999997e-05,2.04000e-01,3.28000e+00,
3.5199999e-05,1.96000e-01,3.44000e+00,
3.5400000e-05,2.04000e-01,3.36000e+00,
3.5600002e-05,2.00000e-01,3.28000e+00,
3.5800003e-05,2.04000e-01,3.44000e+00,
3.6000005e-05,2.00000e-01,3.44000e+00,
3.6200006e-05,2.04000e-01,3.28000e+00,
3.6400008e-05,2.04000e-01,3.44000e+00,
3.6600009e-05,2.08000e-01,3.28000e+00,
3.6800011e-05,2.12000e-01,3.28000e+00,
3.7000013e-05,2.04000e-01,3.44000e+00,
3.7200014e-05,2.08000e-01,3.28000e+00,
3.7400016e-05,2.12000e-01,3.44000e+00,
3.7600017e-05,2.08000e-01,3.44000e+00,
3.7800019e-05,2.16000e-01,3.28000e+00,
3.8000020e-05,2.32000e-01,3.44000e+00,
3.8200022e-05,2.00000e-01,3.28000e+00,
3.8400023e-05,2.00000e-01,3.44000e+00,
3.8600025e-05,2.40000e-01,3.28000e+00,
3.8800026e-05,2.48000e-01,3.28000e+00,
3.9000028e-05,1.88000e-01,3.44000e+00,
3.9200029e-05,2.48000e-01,3.44000e+00,
3.9400031e-05,1.92000e-01,3.28000e+00,
3.9600032e-05,2.04000e-01,3.28000e+00,
3.9800034e-05,2.44000e-01,3.44000e+00,
4.0000035e-05,2.04000e-01,3.44000e+00,
4.0200037e-05,2.48000e-01,3.28000e+00,
4.0400038e-05,2.08000e-01,3.44000e+00,
4.0600040e-05,2.36000e-01,3.28000e+00,
4.0800041e-05,2.20000e-01,3.28000e+00,
4.1000043e-05,2.36000e-01,3.44000e+00,
4.1200045e-05,2.20000e-01,3.28000e+00,
4.1400046e-05,2.36000e-01,3.44000e+00,
4.1600048e-05,2.36000e-01,3.44000e+00,
4.1800049e-05,2.28000e-01,3.28000e+00,
4.2000051e-05,2.32000e-01,3.44000e+00,
4.2200052e-05,2.40000e-01,3.28000e+00,
4.2400054e-05,2.36000e-01,3.28000e+00,
4.2600055e-05,2.40000e-01,3.44000e+00,
4.2800057e-05,2.40000e-01,3.44000e+00,
4.3000058e-05,2.36000e-01,3.28000e+00,
4.3200060e-05,2.40000e-01,3.44000e+00,
4.3400061e-05,2.44000e-01,3.28000e+00,
4.3600063e-05,2.32000e-01,3.28000e+00,
4.3800064e-05,2.52000e-01,3.44000e+00,
4.4000066e-05,2.48000e-01,3.44000e+00,
4.4200067e-05,2.40000e-01,3.28000e+00,
4.4400069e-05,2.44000e-01,3.28000e+00,
4.4600070e-05,2.48000e-01,3.44000e+00,
4.4800072e-05,2.40000e-01,3.44000e+00,
4.5000073e-05,2.48000e-01,3.28000e+00,
4.5200075e-05,2.48000e-01,3.28000e+00,
4.5400076e-05,2.48000e-01,3.44000e+00,
4.5600078e-05,2.48000e-01,3.28000e+00,
4.5800080e-05,2.52000e-01,3.44000e+00,
4.6000081e-05,2.48000e-01,3.44000e+00,
4.6200083e-05,2.52000e-01,3.28000e+00,
4.6400084e-05,2.48000e-01,3.28000e+00,
4.6600086e-05,2.56000e-01,3.44000e+00,
4.6800087e-05,2.52000e-01,3.44000e+00,
4.7000089e-05,2.60000e-01,3.28000e+00,
4.7200090e-05,2.52000e-01,3.44000e+00,
4.7400092e-05,2.60000e-01,3.28000e+00,
4.7600093e-05,2.56000e-01,3.44000e+00,
4.7800095e-05,2.60000e-01,3.28000e+00,
4.8000096e-05,2.60000e-01,3.44000e+00,
4.8200098e-05,2.64000e-01,3.28000e+00,
4.8400099e-05,2.60000e-01,3.44000e+00,
4.8600101e-05,2.64000e-01,3.28000e+00,
4.8800102e-05,2.64000e-01,3.44000e+00,
4.9000104e-05,2.68000e-01,3.28000e+00,
